
2024/09/30 (22:51:14) | ===> btop++ v.1.4.0
2024/09/30 (22:51:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/30 (22:51:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (09:54:08) | ===> btop++ v.1.4.0
2024/10/01 (09:54:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/01 (09:54:08) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (09:54:29) | ===> btop++ v.1.4.0
2024/10/01 (09:54:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/01 (09:54:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (09:54:34) | ===> btop++ v.1.4.0
2024/10/01 (09:54:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/01 (09:54:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (10:28:56) | ===> btop++ v.1.4.0
2024/10/01 (10:28:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/01 (10:28:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (10:48:51) | ===> btop++ v.1.4.0
2024/10/01 (10:48:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/01 (10:48:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (10:52:24) | ===> btop++ v.1.4.0
2024/10/01 (10:52:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/01 (10:52:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (13:40:03) | ===> btop++ v.1.4.0
2024/10/01 (13:40:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/01 (13:40:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (13:46:49) | ===> btop++ v.1.4.0
2024/10/01 (13:46:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/01 (13:46:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (13:48:43) | ===> btop++ v.1.4.0
2024/10/01 (13:48:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/01 (13:48:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (13:50:15) | ===> btop++ v.1.4.0
2024/10/01 (13:50:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/01 (13:50:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (13:58:42) | ===> btop++ v.1.4.0
2024/10/01 (13:58:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/01 (13:58:42) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (14:02:44) | ===> btop++ v.1.4.0
2024/10/01 (14:02:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/01 (14:02:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (14:06:08) | ===> btop++ v.1.4.0
2024/10/01 (14:06:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/01 (14:06:08) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (14:09:09) | ===> btop++ v.1.4.0
